Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Cost per item,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
argentina-2026-away-shirt,,,,,,,Size,XL,Version,Fan,ARGENTINA-2026-AWAY-SHIRT-XL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
argentina-2026-away-shirt,,,,,,,Size,XL,Version,Player,ARGENTINA-2026-AWAY-SHIRT-XL-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
argentina-2026-away-shirt,,,,,,,Size,XXL,Version,Fan,ARGENTINA-2026-AWAY-SHIRT-XXL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
argentina-2026-away-shirt,,,,,,,Size,XXL,Version,Player,ARGENTINA-2026-AWAY-SHIRT-XXL-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
argentina-2026-away-shirt,,,,,,,Size,3XL,Version,Fan,ARGENTINA-2026-AWAY-SHIRT-3XL-FAN,200,,continue,manual,184.00,,72.72,TRUE,TRUE,,,,,,
argentina-2026-away-shirt,,,,,,,Size,3XL,Version,Player,ARGENTINA-2026-AWAY-SHIRT-3XL-PV,200,,continue,manual,234.00,,78.78,TRUE,TRUE,,,,,,
argentina-2026-away-shirt,,,,,,,Size,4XL,Version,Fan,ARGENTINA-2026-AWAY-SHIRT-4XL-FAN,200,,continue,manual,184.00,,72.72,TRUE,TRUE,,,,,,
argentina-2026-away-shirt,,,,,,,Size,4XL,Version,Player,ARGENTINA-2026-AWAY-SHIRT-4XL-PV,200,,continue,manual,234.00,,78.78,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,Arsenal 2025/26 Home Shirt,"<p>The Arsenal 2025/26 home shirt. Available in fan and player versions, sizes S to 4XL.</p><p>Name and number printed to order (+₪39), adding two days to dispatch. Delivery is 12 to 25 days, tracked.</p>",Previous Season,Club Jersey,"Previous Season, 2025/26, Home, Arsenal, Premier League, Football, Soccer, Jersey",FALSE,Size,S,Version,Fan,ARSENAL-2025-26-HOME-SHIRT-S-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,https://raw.githubusercontent.com/OmarHawari2/kitverse-images/main/images/1bc92125.jpg,1,Arsenal 2025/26 Home Shirt,Arsenal 2025/26 Home Shirt,"Shop the Arsenal 2025/26 Home Shirt. Fan and player versions, sizes S-4XL, name and number printed to order.",draft
arsenal-2025-26-home-shirt,,,,,,,Size,S,Version,Player,ARSENAL-2025-26-HOME-SHIRT-S-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,M,Version,Fan,ARSENAL-2025-26-HOME-SHIRT-M-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,M,Version,Player,ARSENAL-2025-26-HOME-SHIRT-M-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,L,Version,Fan,ARSENAL-2025-26-HOME-SHIRT-L-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,L,Version,Player,ARSENAL-2025-26-HOME-SHIRT-L-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,XL,Version,Fan,ARSENAL-2025-26-HOME-SHIRT-XL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,XL,Version,Player,ARSENAL-2025-26-HOME-SHIRT-XL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,XXL,Version,Fan,ARSENAL-2025-26-HOME-SHIRT-XXL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,XXL,Version,Player,ARSENAL-2025-26-HOME-SHIRT-XXL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,3XL,Version,Fan,ARSENAL-2025-26-HOME-SHIRT-3XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,3XL,Version,Player,ARSENAL-2025-26-HOME-SHIRT-3XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,4XL,Version,Fan,ARSENAL-2025-26-HOME-SHIRT-4XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
arsenal-2025-26-home-shirt,,,,,,,Size,4XL,Version,Player,ARSENAL-2025-26-HOME-SHIRT-4XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,Bayern Munich 2025/26 Away Shirt,"<p>The Bayern Munich 2025/26 away shirt. Available in fan and player versions, sizes S to 4XL.</p><p>Name and number printed to order (+₪39), adding two days to dispatch. Delivery is 12 to 25 days, tracked.</p>",Previous Season,Club Jersey,"Previous Season, 2025/26, Away, Bayern Munich, Bundesliga, Football, Soccer, Jersey",FALSE,Size,S,Version,Fan,BAYERN-MUNICH-2025-26-AWAY-SHIRT-S-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,https://raw.githubusercontent.com/OmarHawari2/kitverse-images/main/images/3ed9bbca.jpg,1,Bayern Munich 2025/26 Away Shirt,Bayern Munich 2025/26 Away Shirt,"Shop the Bayern Munich 2025/26 Away Shirt. Fan and player versions, sizes S-4XL, name and number printed to order.",draft
bayern-munich-2025-26-away-shirt,,,,,,,Size,S,Version,Player,BAYERN-MUNICH-2025-26-AWAY-SHIRT-S-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,M,Version,Fan,BAYERN-MUNICH-2025-26-AWAY-SHIRT-M-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,M,Version,Player,BAYERN-MUNICH-2025-26-AWAY-SHIRT-M-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,L,Version,Fan,BAYERN-MUNICH-2025-26-AWAY-SHIRT-L-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,L,Version,Player,BAYERN-MUNICH-2025-26-AWAY-SHIRT-L-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,XL,Version,Fan,BAYERN-MUNICH-2025-26-AWAY-SHIRT-XL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,XL,Version,Player,BAYERN-MUNICH-2025-26-AWAY-SHIRT-XL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,XXL,Version,Fan,BAYERN-MUNICH-2025-26-AWAY-SHIRT-XXL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,XXL,Version,Player,BAYERN-MUNICH-2025-26-AWAY-SHIRT-XXL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,3XL,Version,Fan,BAYERN-MUNICH-2025-26-AWAY-SHIRT-3XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,3XL,Version,Player,BAYERN-MUNICH-2025-26-AWAY-SHIRT-3XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,4XL,Version,Fan,BAYERN-MUNICH-2025-26-AWAY-SHIRT-4XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-away-shirt,,,,,,,Size,4XL,Version,Player,BAYERN-MUNICH-2025-26-AWAY-SHIRT-4XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,Bayern Munich 2025/26 Home Shirt,"<p>The Bayern Munich 2025/26 home shirt. Available in fan and player versions, sizes S to 4XL.</p><p>Name and number printed to order (+₪39), adding two days to dispatch. Delivery is 12 to 25 days, tracked.</p>",Previous Season,Club Jersey,"Previous Season, 2025/26, Home, Bayern Munich, Bundesliga, Football, Soccer, Jersey",FALSE,Size,S,Version,Fan,BAYERN-MUNICH-2025-26-HOME-SHIRT-S-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,https://raw.githubusercontent.com/OmarHawari2/kitverse-images/main/images/8d73b378.jpg,1,Bayern Munich 2025/26 Home Shirt,Bayern Munich 2025/26 Home Shirt,"Shop the Bayern Munich 2025/26 Home Shirt. Fan and player versions, sizes S-4XL, name and number printed to order.",draft
bayern-munich-2025-26-home-shirt,,,,,,,Size,S,Version,Player,BAYERN-MUNICH-2025-26-HOME-SHIRT-S-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,M,Version,Fan,BAYERN-MUNICH-2025-26-HOME-SHIRT-M-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,M,Version,Player,BAYERN-MUNICH-2025-26-HOME-SHIRT-M-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,L,Version,Fan,BAYERN-MUNICH-2025-26-HOME-SHIRT-L-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,L,Version,Player,BAYERN-MUNICH-2025-26-HOME-SHIRT-L-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,XL,Version,Fan,BAYERN-MUNICH-2025-26-HOME-SHIRT-XL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,XL,Version,Player,BAYERN-MUNICH-2025-26-HOME-SHIRT-XL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,XXL,Version,Fan,BAYERN-MUNICH-2025-26-HOME-SHIRT-XXL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,XXL,Version,Player,BAYERN-MUNICH-2025-26-HOME-SHIRT-XXL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,3XL,Version,Fan,BAYERN-MUNICH-2025-26-HOME-SHIRT-3XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,3XL,Version,Player,BAYERN-MUNICH-2025-26-HOME-SHIRT-3XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,4XL,Version,Fan,BAYERN-MUNICH-2025-26-HOME-SHIRT-4XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
bayern-munich-2025-26-home-shirt,,,,,,,Size,4XL,Version,Player,BAYERN-MUNICH-2025-26-HOME-SHIRT-4XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,Brazil 2025/26 Home Shirt,"<p>The Brazil 2025/26 home shirt. Available in fan and player versions, sizes S to 4XL.</p><p>Name and number printed to order (+₪39), adding two days to dispatch. Delivery is 12 to 25 days, tracked.</p>",National Teams,National Team Jersey,"National Teams, 2025/26, Home, Brazil, International, Football, Soccer, Jersey",FALSE,Size,S,Version,Fan,BRAZIL-2025-26-HOME-SHIRT-S-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,https://raw.githubusercontent.com/OmarHawari2/kitverse-images/main/images/28c50b69.jpg,1,Brazil 2025/26 Home Shirt,Brazil 2025/26 Home Shirt,"Shop the Brazil 2025/26 Home Shirt. Fan and player versions, sizes S-4XL, name and number printed to order.",draft
brazil-2025-26-home-shirt,,,,,,,Size,S,Version,Player,BRAZIL-2025-26-HOME-SHIRT-S-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,M,Version,Fan,BRAZIL-2025-26-HOME-SHIRT-M-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,M,Version,Player,BRAZIL-2025-26-HOME-SHIRT-M-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,L,Version,Fan,BRAZIL-2025-26-HOME-SHIRT-L-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,L,Version,Player,BRAZIL-2025-26-HOME-SHIRT-L-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,XL,Version,Fan,BRAZIL-2025-26-HOME-SHIRT-XL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,XL,Version,Player,BRAZIL-2025-26-HOME-SHIRT-XL-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,XXL,Version,Fan,BRAZIL-2025-26-HOME-SHIRT-XXL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,XXL,Version,Player,BRAZIL-2025-26-HOME-SHIRT-XXL-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,3XL,Version,Fan,BRAZIL-2025-26-HOME-SHIRT-3XL-FAN,200,,continue,manual,184.00,,72.72,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,3XL,Version,Player,BRAZIL-2025-26-HOME-SHIRT-3XL-PV,200,,continue,manual,234.00,,78.78,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,4XL,Version,Fan,BRAZIL-2025-26-HOME-SHIRT-4XL-FAN,200,,continue,manual,184.00,,72.72,TRUE,TRUE,,,,,,
brazil-2025-26-home-shirt,,,,,,,Size,4XL,Version,Player,BRAZIL-2025-26-HOME-SHIRT-4XL-PV,200,,continue,manual,234.00,,78.78,TRUE,TRUE,,,,,,
